#=============================
# Lunar Eternal Blue Un-Worked Design patch substitution file
# Format:
# original | replacement;
# The spaces before and after the "|" are mandatory.
#
# When substituting, the parser will try replacing any space
# characters in the input with periods, newlines, etc., to try to
# catch as many uses as possible.
#
# IMPORTANT: Strings are substituted in the order they are
# listed in the file. If a shorter strings precedes a longer one
# (e.g. "Althena" comes before "Goddess Althena"), the longer subtitution
# will never occur because the shorter one will occur first.
#=============================

#=============================
# Basic stuff
#=============================

# Pronouns: "I", "I'm", etc.
i' | I';
i  | I ;
.i.  | .I. ;
.i  | .I ;

b1 | B1;
b2 | B2;
b3 | B3;
b4 | B4;
b5 | B5;
b6 | B6;
b7 | B7;
b8 | B8;
b9 | B9;
b10 | B10;
b11 | B11;
b12 | B12;
b13 | B13;
b14 | B14;
b15 | B15;

1f | 1F;
2f | 2F;
3f | 3F;
4f | 4F;
5f | 5F;
6f | 6F;
7f | 7F;
8f | 8F;
9f | 9F;
10f | 10F;
11f | 11F;
12f | 12F;
13f | 13F;
14f | 14F;
15f | 15F;

1a | 1A;
1b | 1B;
1c | 1C;
1d | 1D;

2a | 2A;
2b | 2B;
2c | 2C;
2d | 2D;

3a | 3A;
3b | 3B;
3c | 3C;
3d | 3D;

4a | 4A;
4b | 4B;
4c | 4C;
4d | 4D;

#=============================
# People
#=============================

goddess althena | Goddess Althena;
goddess crest | Goddess Crest;
althena's guard | Althena's Guard;
cult of althena | Cult of Althena;
the cult | the Cult;
knights of althena | Knights of Althena;
four heroes of althena | Four Heroes of Althena;
heroes of althena | Heroes of Althena;
althena's cult | Althena's Cult;
the althena cult | the Althena Cult;
althena cult | Althena Cult;
aura of althena | Aura of Althena;
althena's tears | Althena's Tears;
althena's white knight | Althena's White Knight;
althena | Althena;

'magic emperor ghaleon' | 'Magic Emperor Ghaleon';
magic emperor ghaleon | Magic Emperor Ghaleon;
the magic emperor | the Magic Emperor;
master ghaleon | Master Ghaleon;
ghaleon | Ghaleon;

dragonmaster alex | Dragonmaster Alex;
alex | Alex;

luna | Luna;

dragonmaster dyne | Dragonmaster Dyne;
dyne | Dyne;

lucia | Lucia;

cult of zophar | Cult of Zophar;
lord zophar | Lord Zophar;
great master zophar | Great Master Zophar;
black master zophar | Black Master Zophar;
master zophar | Master Zophar;
zophar's domain | Zophar's Domain;
zophar's keep | Zophar's Keep;
zophar's tower | Zophar's Tower;
zophar's pinnacle | Zophar's Pinnacle;
zophar's coliseum | Zophar's Coliseum;
zophar's | Zophar's;
zophar the destroyer | Zophar the Destroyer;
zophar | Zophar;

grandpa gwyn | Grandpa Gwyn;
grandpa | Grandpa;
gwyn | Gwyn;

hiro | Hiro;

ruby | Ruby;

white knight leo | White Knight Leo;
lord leo | Lord Leo;
leo | Leo;

ronfar | Ronfar;

wanda | Wanda;

red priest mauri | Red Priest Mauri;
mauri | Mauri;

karate master lunn | Karate Master Lunn;
master lunn | Master Lunn;
saint lunn | Saint Lunn;
lunn | Lunn;

grand black wizard borgan | Grand Black Wizard Borgan;
trial of borgan | Trial of Borgan;
borgan | Borgan;

jean | Jean;

giban | Giban;

plantella's lair | Plantella's Lair;
